period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024,SNY-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SNY-NCA_2,New York Natural Gas International Deliveries to Canada (Million Cubic Feet),284505,MMCF
2024,SWA-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SWA-NCA_2,Washington Natural Gas International Deliveries to Canada (Million Cubic Feet),3282,MMCF
2024,SME-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_SME-NCA_MMCF,Maine Natural Gas International Deliveries to Canada (Million Cubic Feet),111159,MMCF
2024,SNH-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_SNH-NCA_MMCF,New Hampshire Natural Gas International Deliveries to Canada (Million Cubic Feet),63,MMCF
2024,SAK-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SAK-NCA_MMCF,Alaska Natural Gas International Deliveries to Canada (Million Cubic Feet),0,MMCF
2024,SCA-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SCA-NCA_MMCF,California Natural Gas International Deliveries to Canada (Million Cubic Feet),0,MMCF
2024,SMD-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NCA_MMCF,Maryland Natural Gas International Deliveries to Canada (Million Cubic Feet),0,MMCF
2024,SVT-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SVT-NCA_MMCF,Vermont Natural Gas International Deliveries to Canada (Million Cubic Feet),0,MMCF
2024,SLA-NUK,GBR,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_SLA-NUK_MMCF,Louisiana Natural Gas International Deliveries to United Kingdom (Million Cubic Feet),149201,MMCF
2024,STX-NUK,GBR,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_STX-NUK_MMCF,Texas Natural Gas International Deliveries to United Kingdom (Million Cubic Feet),63034,MMCF
2024,SGA-NUK,GBR,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-NUK_MMCF,Georgia Natural Gas International Deliveries to United Kingdom (Million Cubic Feet),9549,MMCF
2024,SMD-NUK,GBR,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NUK_MMCF,Maryland Natural Gas International Deliveries to United Kingdom (Million Cubic Feet),27362,MMCF
2024,SGA-NCI,CHL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-NCI_MMCF,Georgia Natural Gas International Deliveries to Chile (Million Cubic Feet),2534,MMCF
2024,SLA-NCI,CHL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NCI_MMCF,Louisiana Natural Gas International Deliveries to Chile (Million Cubic Feet),48303,MMCF
2024,STX-NCI,CHL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NCI_MMCF,Texas Natural Gas International Deliveries to Chile (Million Cubic Feet),5554,MMCF
2024,STX-NSG,SEN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NSG_MMCF,Texas Natural Gas International Deliveries to Senegal (Million Cubic Feet),517,MMCF
2024,SFL-NBB,FLORIDA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SFL-NBB_MMCF,Florida Exports + Intransit of Natural Gas (Million Cubic Feet),281,MMCF
2024,SFL-Z00,FLORIDA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SFL-Z00_MMCF,Florida Exports + Intransit of Natural Gas (Million Cubic Feet),942,MMCF
2024,SCA-Z00,CALIFORNIA,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SCA_2,California Natural Gas International Deliveries (MMcf),155767,MMCF
2024,SMT-Z00,USA-MT,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SMT_2,Montana Natural Gas International Deliveries (MMcf),1,MMCF
2024,SWI-Z00,USA-WI,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SWI-Z00_MMCF,Wisconsin Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SMD-Z00,USA-MD,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-Z00_MMCF,Maryland Natural Gas International Deliveries (Million Cubic Feet),254557,MMCF
2024,SCT-Z00,USA-CT,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SCT-Z00_MMCF,Connecticut Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SSC-Z00,USA-SC,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SSC-Z00_MMCF,South Carolina Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SID-Z00,USA-ID,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SID-Z00_2,Idaho Natural Gas International Deliveries (MMcf),0,MMCF
2024,STX-NKU,KWT,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NKU_MMCF,Texas Natural Gas International Deliveries to Kuwait (Million Cubic Feet),3831,MMCF
2024,SLA-NMY,MYS,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NMY_MMCF,Louisiana Natural Gas International Deliveries to Malaysia (Million Cubic Feet),18226,MMCF
2024,SLA-NPL,POL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NPL_MMCF,Louisiana Natural Gas International Deliveries to Poland  (MMcf),105772,MMCF
2024,STX-NPL,POL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NPL_MMCF,Texas Natural Gas International Deliveries to Poland (Million Cubic Feet),26796,MMCF
2024,SLA-NPM,PAN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NPNGM_MMCF,Louisiana Natural Gas International Deliveries to Panama (Million Cubic Feet),12273,MMCF
2024,STX-NPM,PAN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NPM_MMCF,Texas Natural Gas International Deliveries to Panama (Million Cubic Feet),7337,MMCF
2024,SWA-Z00,WASHINGTON,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SWA_2,Washington Natural Gas International Deliveries (MMcf),3282,MMCF
2024,SOR-Z00,USA-OR,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SOR-Z00_MMCF,Oregon Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
